id,text,referenceAnswer,keyPoints,questionScope
1,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
68,จังหวัดตากมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมช่วงนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดตาก — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดตาก | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
69,จังหวัดตากมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมสัปดาห์นี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดตาก — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดตาก | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
70,จังหวัดตากมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมเดือนนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดตาก — ในช่วงเดือนปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดตาก | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
71,จังหวัดตากมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมปีนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดตาก — ในช่วงปีปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดตาก | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
72,จังหวัดตากมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมปีที่แล้วเป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดตาก — ในช่วงปีที่ผ่านมา — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดตาก | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
73,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมวันนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
74,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมช่วงนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
75,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมสัปดาห์นี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
76,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมเดือนนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงเดือนปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
77,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมปีนี้เป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงปีปัจจุบัน — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
78,จังหวัดสุโขทัยมีการมีปริมาณการใช้น้ำของพืชชลประทานรวมปีที่แล้วเป็นยังไง ,ตอบจาก database (simsat) รวมทุกโครงการในจังหวัดสุโขทัย — ในช่วงปีที่ผ่านมา — โดยรายงานค่ารวม <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ,จังหวัดสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
79,โครงการชลประทานตากมีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | ข้าว | ไร่ | สัปดาห์นี้,specific
80,โครงการชลประทานตากมีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | ข้าว | ไร่ | ปีนี้,specific
81,โครงการชลประทานตากมีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | อ้อย | ไร่ | สัปดาห์นี้,specific
82,โครงการชลประทานตากมีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | อ้อย | ไร่ | ปีนี้,specific
83,โครงการชลประทานตากมีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
84,โครงการชลประทานตากมีพื้นที่ปลูกข้าวโพดปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | ข้าวโพด | ไร่ | ปีนี้,specific
85,โครงการชลประทานตากมีพื้นที่ปลูกมันสำปะหลังสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | มันสำปะหลัง | ไร่ | สัปดาห์นี้,specific
86,โครงการชลประทานตากมีพื้นที่ปลูกมันสำปะหลังปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานตาก | มันสำปะหลัง | ไร่ | ปีนี้,specific
87,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | ข้าว | ไร่ | สัปดาห์นี้,specific
88,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | ข้าว | ไร่ | ปีนี้,specific
89,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | อ้อย | ไร่ | สัปดาห์นี้,specific
90,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | อ้อย | ไร่ | ปีนี้,specific
91,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
92,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกข้าวโพดปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | ข้าวโพด | ไร่ | ปีนี้,specific
93,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกมันสำปะหลังสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | มันสำปะหลัง | ไร่ | สัปดาห์นี้,specific
94,โครงการส่งน้ำและบำรุงรักษาวังบัวมีพื้นที่ปลูกมันสำปะหลังปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังบัว | มันสำปะหลัง | ไร่ | ปีนี้,specific
95,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | ข้าว | ไร่ | สัปดาห์นี้,specific
96,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | ข้าว | ไร่ | ปีนี้,specific
97,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | อ้อย | ไร่ | สัปดาห์นี้,specific
98,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | อ้อย | ไร่ | ปีนี้,specific
99,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
100,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกข้าวโพดปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | ข้าวโพด | ไร่ | ปีนี้,specific
101,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกมันสำปะหลังสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | มันสำปะหลัง | ไร่ | สัปดาห์นี้,specific
102,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีพื้นที่ปลูกมันสำปะหลังปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",วังยาง-หนองขวัญ | มันสำปะหลัง | ไร่ | ปีนี้,specific
103,โครงการชลประทานแพร่มีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | ข้าว | ไร่ | สัปดาห์นี้,specific
104,โครงการชลประทานแพร่มีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | ข้าว | ไร่ | ปีนี้,specific
105,โครงการชลประทานแพร่มีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | อ้อย | ไร่ | สัปดาห์นี้,specific
106,โครงการชลประทานแพร่มีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | อ้อย | ไร่ | ปีนี้,specific
107,โครงการชลประทานแพร่มีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
108,โครงการชลประทานแพร่มีพื้นที่ปลูกข้าวโพดปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | ข้าวโพด | ไร่ | ปีนี้,specific
109,โครงการชลประทานแพร่มีพื้นที่ปลูกมันสำปะหลังสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | มันสำปะหลัง | ไร่ | สัปดาห์นี้,specific
110,โครงการชลประทานแพร่มีพื้นที่ปลูกมันสำปะหลังปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานแพร่ | มันสำปะหลัง | ไร่ | ปีนี้,specific
111,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | ข้าว | ไร่ | สัปดาห์นี้,specific
112,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | ข้าว | ไร่ | ปีนี้,specific
113,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | อ้อย | ไร่ | สัปดาห์นี้,specific
114,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | อ้อย | ไร่ | ปีนี้,specific
115,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
116,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกข้าวโพดปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | ข้าวโพด | ไร่ | ปีนี้,specific
117,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกมันสำปะหลังสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | มันสำปะหลัง | ไร่ | สัปดาห์นี้,specific
118,โครงการชลประทานกำแพงเพชรมีพื้นที่ปลูกมันสำปะหลังปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานกำแพงเพชร | มันสำปะหลัง | ไร่ | ปีนี้,specific
119,โครงการชลประทานสุโขทัยมีพื้นที่ปลูกข้าวสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานสุโขทัย | ข้าว | ไร่ | สัปดาห์นี้,specific
120,โครงการชลประทานสุโขทัยมีพื้นที่ปลูกข้าวปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานสุโขทัย | ข้าว | ไร่ | ปีนี้,specific
121,โครงการชลประทานสุโขทัยมีพื้นที่ปลูกอ้อยสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานสุโขทัย | อ้อย | ไร่ | สัปดาห์นี้,specific
122,โครงการชลประทานสุโขทัยมีพื้นที่ปลูกอ้อยปีนี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานสุโขทัย | อ้อย | ไร่ | ปีนี้,specific
123,โครงการชลประทานสุโขทัยมีพื้นที่ปลูกข้าวโพดสัปดาห์นี้เท่าไหร่,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ไร่ — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ — (ต้องมีคำว่า: แปลง)",ชลประทานสุโขทัย | ข้าวโพด | ไร่ | สัปดาห์นี้,specific
